"id"	"institutionCode"	"datasetName"	"basisOfRecord"	"catalogNumber"	"recordedBy"	"recordNumber"	"occurrenceDetails"	"eventDate"	"continent"	"country"	"stateProvince"	"county"	"locality"	"minimumElevationInMeters"	"maximumElevationInMeters"	"decimalLatitude"	"decimalLongitude"	"geodeticDatum"	"coordinateUncertaintyInMeters"	"identifiedBy"	"typeStatus"	"scientificName"	"kingdom"	"phylum"	"family"	"genus"	"specificEpithet"	"infraspecificEpithet"	"taxonRank"	"scientificNameAuthorship"
"23dd6228-0812-431b-959d-cf0ee75e2cf2"	"NY"	"New York Botanical Garden"	"S"	"1274313"	"G. T. Prance"	"21637"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1514230"	"1974"	"South America"	"Brazil"	"Amazonas"		"Manaus-Caracarai road, km. 115, Rio Urubu."			"-1.981"	"-60.0292"	"Georeferencing Quick Reference Guide, Version 2012"	"12717"	"D. C. Daly"		"Protium aracouchini (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"aracouchini"			"(Aubl.) Marchand"
"84a7a4c3-a019-4c3c-980b-151d25936c2d"	"NY"	"New York Botanical Garden"	"S"	"1274339"	"G. T. Prance"	"21637"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1514424"	"1974"	"South America"	"Brazil"	"Amazonas"		"Manaus-Caracarai road, km. 115, Rio Urubu."			"-1.981"	"-60.0292"	"Georeferencing Quick Reference Guide, Version 2012"	"12717"	"D. C. Daly"		"Protium aracouchini (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"aracouchini"			"(Aubl.) Marchand"
"8d9eb524-83ca-40ef-9cb5-e6e5291054e9"	"NY"	"New York Botanical Garden"	"S"	"1274248"	"A. S. Tavares"	"269"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1513464"	"1987"	"South America"	"Brazil"	"Pará"		"Ilha de Marajó, Rio Carombé, afluente do rio Anajás."					"Label"		"D. C. Daly"		"Protium aracouchini (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"aracouchini"			"(Aubl.) Marchand"
"c247c488-ff6f-4bd3-884b-f48d095b50af"	"NY"	"New York Botanical Garden"	"S"	"1274239"	"G. T. Prance"	"5562"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1513425"	"1968"	"South America"	"Brazil"	"Rondônia"		"Basin of Rio Madeira: Track between Mutumparaná and Rio Madeira"			"-9.6"	"-64.95"			"D. M. Porter"		"Protium aracouchini (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"aracouchini"			"(Aubl.) Marchand"
"63411e5e-8978-4bc7-b323-a396b939bf33"	"NY"	"New York Botanical Garden"	"S"	"1274423"	"A. L. Bernardi"	"2868"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1515306"	"1956"	"South America"	"Venezuela"	"Mérida"									"D. C. Daly"		"Protium aracouchini (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"aracouchini"			"(Aubl.) Marchand"
"1fc2add1-b788-413a-9bb9-42e02a928765"	"NY"	"New York Botanical Garden"	"S"	"1274425"	"A. L. Bernardi"	"2861"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1515314"	"1956"	"South America"	"Venezuela"	"Bolívar"		"Region de los rios Icabaru, Hacha y cordillera sin nombre a 280° de las cabeceras del Rio Hacha"	"450"	"850"					"D. C. Daly"		"Protium aracouchini (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"aracouchini"			"(Aubl.) Marchand"
"a1480818-8bfe-4384-b9bc-bc67cdcab78c"	"NY"	"New York Botanical Garden"	"S"	"1274352"	"A. L. Bernardi"	"3/81"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1514468"	"1976"	"South America"	"Peru"	"Loreto"	"Requena Province"	"Ad flumen Ucayali"	"120"	"120"	"-4.92"	"-73.75"			"D. C. Daly"		"Protium aracouchini (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"aracouchini"			"(Aubl.) Marchand"
"d345bb50-ee1b-450e-a08a-221549da6177"	"NY"	"New York Botanical Garden"	"S"	"1274277"	"A. H. Gentry"	"46911"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1513760"	"1984"	"South America"	"Venezuela"	"Amazonas"		"Cerro de Neblina, Río Mawarinuma vicinity of ""Puerto Chimo"""	"190"	"190"	"0.83"	"-66.08"			"D. C. Daly"		"Protium aracouchini (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"aracouchini"			"(Aubl.) Marchand"
"5a3e615a-8743-4cc2-92e4-2cf529bd205c"	"NY"	"New York Botanical Garden"	"S"	"1242215"	"A. H. Gentry"	"57804"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1511605"	"1987"	"South America"	"Peru"	"Madre de Dios"		"Tambopata Nature Reserve; junction of Rios La Torre and Tambopata"	"250"	"250"	"-12.83"	"-69.28"			"D. C. Daly"		"Protium aracouchini (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"aracouchini"			"(Aubl.) Marchand"
"2a62d4f9-1adc-429b-84c6-bf5399731bc5"	"NY"	"New York Botanical Garden"	"S"	"1242187"	"A. H. Gentry"	"21355"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1511351"	"1977"	"South America"	"Peru"	"Loreto"	"Requena Province"	"Genaro Herrera, Río Ucayali below Requena"			"-4.92"	"-73.67"			"D. C. Daly"		"Protium aracouchini (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"aracouchini"			"(Aubl.) Marchand"
"3410cffe-3967-4134-beaa-06ae8ce46b03"	"NY"	"New York Botanical Garden"	"S"	"1274355"	"A. H. Gentry"	"37260"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1514476"	"1982"	"South America"	"Peru"	"Junín"		"Pichinaki, betwen Satipo and Bridge over the Chanchamayo."	"900"	"1000"	"-10.83"	"-75"	"Label"		"D. C. Daly"		"Protium aracouchini (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"aracouchini"			"(Aubl.) Marchand"
"6df3dabd-c173-4371-b0bb-f9f34d4ed36d"	"NY"	"New York Botanical Garden"	"S"	"1274351"	"A. H. Gentry"	"37909"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1514466"	"1982"	"South America"	"Peru"	"San Martín"		"NE of Tarapoto on road to Yurimaguas, ca 16 km NE of Tarapoto."	"800"						"D. C. Daly"		"Protium aracouchini (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"aracouchini"			"(Aubl.) Marchand"
"3ccd2ddb-9d6f-4326-b23e-ae43434f0ba4"	"NY"	"New York Botanical Garden"	"S"	"1242154"	"A. H. Gentry"	"40619"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1510855"	"1983"	"South America"	"Colombia"	"Cauca"		"Río Naya near El Pastico."	"20"	"100"	"3.1"	"-77.22"	"Label"		"D. C. Daly"		"Protium aracouchini (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"aracouchini"			"(Aubl.) Marchand"
"9e055ef1-40f3-4b51-a06d-19c4c108fdba"	"NY"	"New York Botanical Garden"	"S"	"608661"	"J. P. Souza"	"2411"	"http://sweetgum.nybg.org/vh/specimen.php?irn=34666"	"1998"	"South America"	"Brazil"	"Bahia"	"Porto Seguro"	"Rodovia Porto Seguro-Eunápolis, ca. 10km de Porto Seguro em direçao a Eunápolis"			"-16.4497"	"-39.0644"	"Other source"	"68835"	"D. C. Daly"		"Protium aracouchini (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"aracouchini"			"(Aubl.) Marchand"
"809d1d08-bbb5-4b6a-90f9-8aa2c14fb257"	"NY"	"New York Botanical Garden"	"S"	"1274303"	"D. W. Stevenson"	"930"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1513980"	"1987"	"South America"	"Brazil"	"Amazonas"		"Rio Negro, across from communidade Aparecida, 1 km up from Rio Taurí"			"0.33"	"-67.3"			"D. C. Daly"		"Protium aracouchini (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"aracouchini"			"(Aubl.) Marchand"
"761cc953-c4c1-4283-97a9-bbdf24a5d741"	"NY"	"New York Botanical Garden"	"S"	"865154"	"N. A. Rosa"	"679"	"http://sweetgum.nybg.org/vh/specimen.php?irn=34673"	"1976"	"South America"	"Brazil"	"Acre"	"Cruzeiro do Sul"	"Projeto de RADAM, Sub-base de Cruzeiro do Su - SB-18-ZD."			"-7.6311"	"-72.6697"	"Coordinates determined at another institution"		"D. C. Daly"		"Protium aracouchini (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"aracouchini"			"(Aubl.) Marchand"
"19b773d5-969f-49b5-9423-31318e142615"	"NY"	"New York Botanical Garden"	"S"	"1274365"	"B. Oldeman"	"B.2632"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1514597"	"1969"	"South America"	"French Guiana"			"Montagne des Trois Pitons"			"4.21667"	"-51.85"	"Coordinates determined at another institution"		"D. C. Daly"		"Protium aracouchini (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"aracouchini"			"(Aubl.) Marchand"
