id	institutionCode	datasetName	basisOfRecord	catalogNumber	recordedBy	recordNumber	occurrenceDetails	eventDate	continent	country	stateProvince	county	locality	minimumElevationInMeters	maximumElevationInMeters	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	identifiedBy	typeStatus	scientificName	kingdom	phylum	family	genus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship
881146df-10f9-4179-b7d4-75dc29f1fdd1	NY	New York Botanical Garden	S	1309684	R. B. Foster	14527	http://sweetgum.nybg.org/vh/specimen.php?irn=1539475	1992	South America	Bolivia	Santa Cruz	Velasco	Estación Flor de Oro.  Margen del Rio Iténez (Guaporé); frontera con Rondonia; ~ 20 km norte del Serrania de Huanchaca.	150		-13.52	-61	Label		""	""	Protium heptaphyllum (Aubl.) Marchand	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	""	""	(Aubl.) Marchand
281fa5d0-2054-4980-8f1c-69f18415964a	NY	New York Botanical Garden	S	1309685	S. Ortiz S.	55	http://sweetgum.nybg.org/vh/specimen.php?irn=1539480	1994	South America	Bolivia	Santa Cruz	Ñuflo de Chávez	localidad Concepción a 5 km al sur del pueblo (Riberas del río Zapocó).	450		-16.1483	-62.03	Label		I. G. Vargas Caballero	""	Protium heptaphyllum (Aubl.) Marchand	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	""	""	(Aubl.) Marchand
fa9f9a1f-9a65-405f-81fa-bde045d38530	NY	New York Botanical Garden	S	1309686	F. Mamani M.	1189	http://sweetgum.nybg.org/vh/specimen.php?irn=1539485	1996	South America	Bolivia	Santa Cruz	Chiquitos	Santiago de Chiquito.  Camino al Valle Tucavaca.	400		-18.33	-59.75	Label		D. C. Daly	""	Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	heptaphyllum	subsp.	""
f3f49090-536a-4e2a-afb1-3dcbdb36662d	NY	New York Botanical Garden	S	1309687	R. Guillén	2305	http://sweetgum.nybg.org/vh/specimen.php?irn=1539522	1994	South America	Bolivia	Santa Cruz	Velasco	Campamento El Refugio.	240		-14.5583	-60.7614	Label		D. C. Daly	""	Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	heptaphyllum	subsp.	""
5bcbe36d-3f7a-405f-a2de-057d3930726f	NY	New York Botanical Garden	S	1309688	R. Guillén	2441	http://sweetgum.nybg.org/vh/specimen.php?irn=1539527	1994	South America	Bolivia	Santa Cruz	Velasco	Campamento La Toledo, a 1000 m al E de la casa.	160	160	-14.7	-61.15	""		D. C. Daly	""	Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	heptaphyllum	subsp.	""
82c77262-0321-4c56-8d7f-2bb3385b6749	NY	New York Botanical Garden	S	1309689	R. Guillén	2491	http://sweetgum.nybg.org/vh/specimen.php?irn=1539529	1994	South America	Bolivia	Santa Cruz	Velasco	Campamento La Toledo, a 1000 m al E de la casa.	160	160	-14.7	-61.15	""		D. C. Daly	""	Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	heptaphyllum	subsp.	""
6617f14f-3247-4923-91f4-b1e1056a56ed	NY	New York Botanical Garden	S	1309722	A. Jardim	3683	http://sweetgum.nybg.org/vh/specimen.php?irn=1541679	1996	South America	Bolivia	Santa Cruz	Chiquitos	15km al oeste de Robore yendo de Santiago de Chiquitos.	200				Label		D. C. Daly	""	Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	heptaphyllum	subsp.	""
abb74a28-a508-471c-91c2-43a089695b63	NY	New York Botanical Garden	S	1309723	T. J. Killeen	5072	http://sweetgum.nybg.org/vh/specimen.php?irn=1541680	1996	South America	Bolivia	Santa Cruz	Velasco	Parque Nacional Noel Kempff M. Pista Las Gamas.	815		-14.8031	-60.393	Label		D. C. Daly	""	Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	heptaphyllum	subsp.	""
60c292f8-7247-4aff-91cc-43676fa1cd5d	NY	New York Botanical Garden	S	1309724	T. J. Killeen	6914	http://sweetgum.nybg.org/vh/specimen.php?irn=1541681	1994	South America	Bolivia	Santa Cruz	Velasco	Reserva ecológica El Refugio; a 30 km al Sur de la comunidad Florida.  Estancia La Toledo.	200		-14.7171	-61.1628	Label		D. C. Daly	""	Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	heptaphyllum	subsp.	""
c2cbe46d-99d0-4f3c-ad4c-f214e6476eec	NY	New York Botanical Garden	S	1309725	T. J. Killeen	7328	http://sweetgum.nybg.org/vh/specimen.php?irn=1541683	1994	South America	Bolivia	Santa Cruz	Velasco	a 15 km al S de San Ignacio, por el camino a San Miguel.	450		-16.4759	-60.9818	Label		D. C. Daly	""	Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	heptaphyllum	subsp.	""
b5613e3a-e3cc-49c3-8175-42146f37bf7c	NY	New York Botanical Garden	S	1309726	T. J. Killeen	7445	http://sweetgum.nybg.org/vh/specimen.php?irn=1541685	1995	South America	Bolivia	Santa Cruz	Velasco	"Parque Nacional Noel Kempff M.  Campamento """"Laja"""", sobre senda de Geobol; a 15 km al SE de Los Fierros."	400		-14.5661	-60.7728	Label		D. C. Daly	""	Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	heptaphyllum	subsp.	""
922a628b-d618-44d1-b70d-f6a37ee5741f	NY	New York Botanical Garden	S	1309730	R. Guillén	2821	http://sweetgum.nybg.org/vh/specimen.php?irn=1541691	1994	South America	Bolivia	Santa Cruz	Ñuflo de Chávez	"Concepción """"El Carmen"""", a 3 km yendo camino al poniente a una hestancia."	680		-16.4601	-61.9892	Label		D. C. Daly	""	Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	heptaphyllum	subsp.	""
d10022e9-ad47-46a1-831e-3a41b8988a4e	NY	New York Botanical Garden	S	1309732	A. M. Carrión	283	http://sweetgum.nybg.org/vh/specimen.php?irn=1541751	1996	South America	Bolivia	Santa Cruz	Velasco	Reserva Ecológica El Refugio, puesto La Toledo.	220		-14.7506	-61.1436	Label		D. C. Daly	""	Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	heptaphyllum	subsp.	""
37dd67f4-1004-40d2-8493-7a007f4ca7f7	NY	New York Botanical Garden	S	1309733	H. H. Rusby	2568	http://sweetgum.nybg.org/vh/specimen.php?irn=1541770	1886	South America	Bolivia	""	""	Guanai	610	610			""		D. C. Daly	""	Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	heptaphyllum	subsp.	""
572e556c-9e2e-4a13-bd46-b3ea8a6cac59	NY	New York Botanical Garden	S	1309734	M. Saldías Paz	1275	http://sweetgum.nybg.org/vh/specimen.php?irn=1541781	1990	South America	Bolivia	Santa Cruz	Andrés Ibáñez	Arybay; 6 km NW de Terevinto; 20 km NW de la ciudad de Santa Cruz.	425		-17.68	-63.42	Label		D. C. Daly	""	Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	heptaphyllum	subsp.	""
48646264-99c8-43ee-8483-2f495c236d7e	NY	New York Botanical Garden	S	1309736	D. C. Daly	2190	http://sweetgum.nybg.org/vh/specimen.php?irn=1541873	1983	South America	Bolivia	Santa Cruz	Chiquitos	South slope of the Serrania de Santiago.  5 - 10 km east of  town of Santiago de Chiquitos.	800	950	-18.38	-59.5	""		D. C. Daly	""	Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	heptaphyllum	subsp.	""
5b58bdb8-b3c6-4e2a-9e01-d8bcdf7ec307	NY	New York Botanical Garden	S	1309737	D. C. Daly	2231	http://sweetgum.nybg.org/vh/specimen.php?irn=1541932	1983	South America	Bolivia	Santa Cruz	Chiquitos	North slope of Serrania de Santiago.  10 km ENE of Santiago de Chiquitos	900	900	-18.33	-59.47	""		D. C. Daly	""	Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	heptaphyllum	subsp.	""
1bc0a4bf-2ccb-4187-ad8f-95d469e0f320	NY	New York Botanical Garden	S	1309738	J. Steinbach	6504	http://sweetgum.nybg.org/vh/specimen.php?irn=1541941	1925	South America	Bolivia	Santa Cruz	Sara	B.-Vista	450	450			""		D. C. Daly	""	Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	heptaphyllum	subsp.	""
9bfbc9a9-cf00-4a85-a7f7-ce0839757f8a	NY	New York Botanical Garden	S	1309739	O. Buchtien	2071	http://sweetgum.nybg.org/vh/specimen.php?irn=1541955	1907	South America	Bolivia	""	""	San Carlos [?] Mapiri [?]	750		-15.4004	-68.1834	Georeferencing Quick Reference Guide, Version 2012	4031.57	D. C. Daly	""	Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	heptaphyllum	subsp.	""
e1570a2e-8007-469f-b6d1-05ef753fbf57	NY	New York Botanical Garden	S	1309740	A. Jardim	3687	http://sweetgum.nybg.org/vh/specimen.php?irn=1541970	1996	South America	Bolivia	Santa Cruz	Chiquitos	5km al Oeste de Santiago de Chiquitos.	200				Label		D. C. Daly	""	Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	heptaphyllum	subsp.	""
6b3b8663-98de-4af2-af6e-e2c07b925b37	NY	New York Botanical Garden	S	1309741	A. M. Carrión	342	http://sweetgum.nybg.org/vh/specimen.php?irn=1542022	1996	South America	Bolivia	Santa Cruz	Velasco	Reserva Ecológica El Refugio, a 6 km al sureste de la casa.	220		-14.7506	-61.1436	Label		D. C. Daly	""	Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	heptaphyllum	subsp.	""
4897a5d2-e28c-4e99-94a9-64ebd0ab63aa	NY	New York Botanical Garden	S	1309742	M. Saldías Paz	4807	http://sweetgum.nybg.org/vh/specimen.php?irn=1542130	1996	South America	Bolivia	Santa Cruz	Ichilo	Potrero San Rafaél, 5 km SW de Buena Vista.	360		-17.48	-63.65	Label		D. C. Daly	""	Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	heptaphyllum	subsp.	""
13a609ef-f031-415e-acae-d07145d7d516	NY	New York Botanical Garden	S	1309744	M. H. Nee	33773	http://sweetgum.nybg.org/vh/specimen.php?irn=254610	1987	South America	Bolivia	Santa Cruz	Andrés Ibáñez	2 km. W of center of La Belgica	360	360	-17.57	-64.2417	""		D. C. Daly	""	Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	heptaphyllum	subsp.	""
